theta_arc,xi_noise
0.0,1.0
0.25,0.9430541524331544
0.75,0.8291624572994634
1.25,0.8148507055199238
1.75,0.8007899614809224
2.25,0.7886063043893279
2.75,0.7782817383737457
3.25,0.7659961719215296
3.75,0.7543114848558524
4.25,0.7423004377650868
4.75,0.7312318824402114
5.25,0.7193318154051938
5.75,0.7084102179093835
6.25,0.6981060835970171
6.75,0.6871252712192887
7.25,0.6756714126191794
7.75,0.6647271335171937
8.25,0.6554786957180218
8.75,0.6446919282028334
9.25,0.6343277380304918
9.75,0.624289510965899
10.25,0.6138634530224713
10.75,0.6040438776659863
11.25,0.5948166127887007
11.75,0.5842664190753988
12.25,0.5749229269695726
12.75,0.5648791984288503
13.25,0.5551872551231092
13.75,0.5457284534689503
14.25,0.5362488322470446
14.75,0.526077672176818
15.25,0.5166456170165049
15.75,0.5074017026581206
16.25,0.4982318269716744
16.75,0.48836984828298385
17.25,0.4798160658642523
17.75,0.4702878915806655
18.25,0.46083539944163976
18.75,0.4519147074371322
19.25,0.44316641939048207
19.75,0.43392466087011344
20.25,0.42510919747029413
20.75,0.416555904638947
21.25,0.40798536002083235
21.75,0.4001021993571381
22.25,0.3917549633250179
22.75,0.38312881862757997
23.25,0.37530451247595886
23.75,0.3676503028499662
24.25,0.35964512741068594
24.75,0.35186168809327106
25.25,0.3442797802853807
25.75,0.3363307413661187
26.25,0.32876980592409766
26.75,0.3214451875326811
27.25,0.3138803442225297
27.75,0.3065740559617272
28.25,0.29910385892313895
28.75,0.29191626154858075
29.25,0.28442495375814936
29.75,0.2775945880827468
30.25,0.2701273851814644
30.75,0.2629248136123268
31.25,0.2560561700280676
31.75,0.24918531505034314
32.25,0.2421989427042098
32.75,0.23553470176476024
33.25,0.22888911226089959
33.75,0.22223947555040277
34.25,0.21570266646216918
34.75,0.20958064756680042
35.25,0.20340913402239563
35.75,0.19751421168785946
36.25,0.19157459583621858
36.75,0.18568334317204885
37.25,0.1800109044596199
37.75,0.17428116953416653
38.25,0.16882693376966823
38.75,0.1632104398084371
39.25,0.15768718985436592
39.75,0.15238114924486162
40.25,0.14700889464619743
40.75,0.14223278930229954
41.25,0.13709268091557356
41.75,0.1323325360589422
42.25,0.12744851366030724
42.75,0.12289952462031505
43.25,0.11828183510148921
43.75,0.11376519651676192
44.25,0.1095546474664413
44.75,0.10537902092177619
45.25,0.10136834488133067
45.75,0.09733494962633489
46.25,0.09351263307310259
46.75,0.08968345441750371
47.25,0.08634117321728987
47.75,0.08300979115032166
48.25,0.07981719377415263
48.75,0.07691348016844045
49.25,0.0739874640065028
49.75,0.07126393564933535
50.25,0.06860486116534291
50.75,0.06610849621211763
51.25,0.06369932538364018
51.75,0.06134868398506905
52.25,0.059054258725087454
52.75,0.056895996694436415
53.25,0.05479657248082659
53.75,0.0527882857800508
54.25,0.050892265960504925
54.75,0.04894490145830076
55.25,0.047002252301861676
55.75,0.04524248769264657
56.25,0.04353777560112471
56.75,0.041890648645597585
57.25,0.04040167469046348
57.75,0.03878037940285704
58.25,0.03740890397998633
58.75,0.036068950907067056
59.25,0.034645519357215444
59.75,0.03343144158692556
60.25,0.032173025182882266
60.75,0.030830330603039274
61.25,0.02970708583269846
61.75,0.028595913770474376
62.25,0.02745823974371075
62.75,0.026432574700966924
63.25,0.025349750361789047
63.75,0.02430436427396433
64.25,0.02334122332688233
64.75,0.02235978099809882
65.25,0.021400716664087802
65.75,0.020475169304865037
66.25,0.019553160770052723
66.75,0.01867959867378177
67.25,0.017841624477972905
67.75,0.017048137108946974
68.25,0.01625467055077828
68.75,0.01553095789890756
69.25,0.01484622760379181
69.75,0.014127837740247774
70.25,0.013446957029596059
70.75,0.012760986260018113
71.25,0.012070961020865216
71.75,0.011458826446050835
72.25,0.01089740147180404
72.75,0.010314716128004754
73.25,0.009787159610880558
73.75,0.009272421400391225
74.25,0.008772657397217045
74.75,0.008247161770490105
75.25,0.0078010346440978325
75.75,0.007315202787974822
76.25,0.006895649076360807
76.75,0.006492925304105266
77.25,0.006064114066846198
77.75,0.005674671458520899
78.25,0.00528017247712117
78.75,0.004922979114824132
79.25,0.004582989280714853
79.75,0.004251562816450614
80.25,0.003953789490151516
80.75,0.0036655459710326138
81.25,0.003373801136586056
81.75,0.0030702718768942415
82.25,0.00278048623326092
82.75,0.002483957541925536
83.25,0.0022254095886735776
83.75,0.0019814225097715328
84.25,0.0017663040486050573
84.75,0.001547746575339054
85.25,0.001378535090575608
85.75,0.0012115811309192559
86.25,0.0010540710441360839
86.75,0.0009028916960751647
87.25,0.0007469606825149893
87.75,0.0005983812095087938
88.25,0.00046207814043160275
88.75,0.0003415315546664492
89.25,0.00024347887366064493
89.75,0.0001549172451630915
90.25,8.704997710758878e-05
90.75,4.1606717737394076e-05
91.25,1.3239669244509862e-05
91.75,2.4096179311547585e-06
92.25,2.2644639414475294e-07
92.75,0.0
1000.0,0.0
